question1,question2,is_duplicate
花呗需要多少信誉分,我差多少信用积分才能使用花呗,1
问什么借呗现在只能借***个月了,为什么借呗只能借***个月，不能借***个月,1
为什么刚申请借呗的页面提示什么千万别上当,我的借呗为什么突然不能提款,0
蚂蚁借呗分期还款后，然后一次性还清有利息,蚂蚁借呗，提前还款，利息更低，还是,0
借呗会对银行贷款有影响吗,借呗预期一天对信用有没有影响,0
花呗可以推迟几天还款么,花呗可以推迟一天还款么,1
彩票点可以用花呗收款二维码吗,我只是流动摊位，可以花呗收款吗,0
我从来没有使用过支付宝的花呗功能,为什么我这个支付宝没有显示花呗的,0
蚂蚁借呗为什么不能选择***期 和***期还款,怎么借呗还款日期只有一个选择,0
我的支付宝帐户和淘宝里的支付宝帐户不是一样的？为什么说花呗查不到信用记录,每个支付宝帐号的花呗帐单日是一样的吗,0
花呗逾期还款每天的利息是多少,花呗逾期多少天会有利息,0
蚂蚁借呗和蚂蚁花呗有关吗,是蚂蚁借呗 不是花呗,0
用了花呗不能用借呗吗,两个支付宝账号都能同时用花呗借呗吗,0
我用花呗买东西然后我又退款了然后是退给花呗吗,我买这三样东西是用花呗付款的，然后我全退货退款了，我享个极速退款特权,0
我使用花呗有什么好处,花呗有什么优势吗,1
没钱还给花呗,刷了花呗没收到钱,0
为什么借呗额度变小了,蚂蚁借呗额度突然变小,1
线下收款码 如何开通花呗收款,开通信用卡花百收款服务是不是收取服务费,0
花呗返现周卡哪看,花呗返现什么时候给,0
花呗还款时间能推迟吗,花呗还款可以延长时间吗,1
"之前绑定的手机号现在没用了,怎么申请借呗呀",花呗绑定的不是现在的手机号码，是以前废弃的号码，怎么操作,0
怎么看我是不是蚂蚁花呗的会员,蚂蚁会员和花呗是两个不同的意思,0
显示的退款成功，可是花呗里没有,花呗支付之后没什么收款方没有显示,0
借呗还款日可以晚上还吗,借呗长期借款，还款日可以调吗,0
蚂蚁花呗激活是什么意思,花呗如果激活,0
花呗支持佳乐家吗,怎么看是否支持花呗,0
多长时间评估借呗,系统系统重新评估，借呗账户要多长时间,0
花呗有还款有宽限期吗,借呗花呗能晚还款么,0
蚂蚁借呗的钱全部还完，蚂蚁借呗怎么没了,借呗还款完了，怎么不给借了,1
花呗还款的方式,谁给我申请了花呗还款方式,0
为什借呗有额度，但是提现不了,***万免费提现额度是不是蚂蚁借呗的钱也在里面,0
我想在淘宝买东西怎么用花呗,花呗能怎么用？除了淘宝,0
临时额度和花呗额度是不是一样的,花呗临时额度消费了可以分期吗,0
多少信誉能借呗,蚂蚁借呗，最高能借多少钱，需要多少信用分,0
花呗逾期还款已请还能能是用吗,逾期还款后花呗无法使用 怎么办,0
***极致咖啡可以用花呗支付吗,可以用花呗打车吗,0
怎样还花呗,花呗怎么偿还,1
刚刚花呗扣了一笔款是app内充值 但是app并没有显示充值成功,花呗扣款了，但是没有显示,0
蚂蚁借呗最长只能借***个月,蚂蚁借呗最长还款期限是几个月,0
反复试过，没有花呗,我从来没弄过花呗,0
今天我看见我花呗欠了***然后我直接还了***银行卡里扣的也是***但是花呗显示我只还了***还有***没还,我的银行卡已经显示扣除了***块，为什么花呗账单还是显示没有还款,0
逾期的借呗还清了吗,借呗逾期了还完款还可以再借出来吗,0
我怎么用不起借呗,借呗开了但是用不了,1
花呗明细在哪里查,怎么查花呗消费明细,0
我在小红书下单退款后是返回花呗吗,小红书 花呗分期付款,0
借呗还款日到了怎么没有自动还款,为什么借呗没有自动扣款,1
为什么***退回到花呗了,为何退了***，花呗到账不是这么多,0
怎么看花呗临时额度是多少,双***花呗临时额度申请,0
支付宝注销一个，另外一个可以开通蚂蚁花呗吗,另一个号开通了花呗 我注销了 这个号能开通吗,1
借呗借钱可以撤回吗,借呗放款中可以取消贷款吗,0
我怎么用花呗收款,卖方怎么开通花呗,0
我的花呗明明还完了，为什么还一直给我发短信说逾期没还,没有逾期过，为什么花呗不能用,0
花呗还款可从支付宝余额里扣吗,用余额宝能还款花呗不,1
这个号码怎么用花呗充值,花呗里面怎么充值,0
顾客用花呗支付的额度是不是有限制,在商户使用花呗付款额度限制,1
我没借呗额度什么意思,借呗没有信用额度了,1
您在购物的时候是用花呗支付的，订单确认收货交易成功后下月还款日前是需要还,花呗支付的订单是交易成功后入账的，请您根据订单确认收货交易,0
我用花呗充了***块话费，到账只有***,花呗充值话费，一般多久到账,0
花呗额度没用完还可以用第二次吗,我想调整花呗的额度可以吗,0
花呗可以用借呗的钱嘛,花呗额度是负的可以使用借呗吗,0
花呗可以微信还款嘛,现在可以还花呗嘛,0
今天使用花呗付款，什么时候还,用花呗买什么时候还款,1
花呗自动扣款是到期的几点扣,这个花呗是不是自动扣款,0
什么是信用卡/花呗收款服务费,花呗扣服务费,0
花呗用不了咋办,我的花贝怎么用不了,1
花呗最高返现***元,花呗抢返现,0
我卡里还有余额怎么去花花呗的钱,我今天用的花呗，***月几号还款,0
借呗还款日之前可以申请分期么,可以申请多个支付宝借呗吗,0
我想知道为什么我的花呗用不了,我为什么不能使用花吧,1
阿里员工借呗怎么可以提高额度,怎么设置蚂蚁借呗额度,0
我银行卡不见了，以后怎样还借呗,我借呗验证手机不见了,0
为什么别人的借呗一千元一天***元，我的要***元,为什么我天天用支付宝，而我没有借呗,0
花呗十月份返现活动,花呗返现何时到账,0
我的花呗就能在淘宝上面使用，别的为什么用不了,为什么有花呗在淘宝里面用不起,0
加油卡不支持花呗充值吗,加油卡充值能使用蚂蚁花呗里面的钱吗,1
如果蚂蚁借呗还款一次性还清,蚂蚁借呗怎么设置一年还款期限,0
蚂蚁借呗调额度调少了，怎么调回来,借呗额度调低怎么调回来,1
关闭了怎么还能用花呗,关闭花呗之后，里面的可用额度，还能用吗,0
身份认证过期蚂蚁借呗关了,实名认证的身份证过期了会不会也不能通过借呗,0
给我把蚂蚁借呗取消，永远不要开启,不小心开通了蚂蚁借呗，怎么取消,0
花呗帮朋友还款明细,花呗～怎样还款,0
怎么用花呗帮朋友还,有***元钱花呗红包怎么用,0
微信能收花呗款吗,花呗可以使用微信还吗,0
蚂蚁借呗还款日一定要中午***点才,蚂蚁借呗还款还了***多 可借额度怎么就***多,0
借呗这个月我能不能还***块,借呗***万***个月，一个月要还多少,0
蚂蚁花呗提前节清,花呗分期能提前结清么,0
我现在不欠花呗的款,我的花呗不能扫码付款，这又是为什么,0
蚂蚁借呗当天能还款吗,借呗可以晚还几天吗,0
花呗分期后提前还款收手续费么,花呗分期能免手续费嘛,0
在蚂蚁借呗借了两笔还清一笔怎么额度不恢复,为什么借呗额度一直不恢复,0
蚂蚁借呗怎么借不到款了,借呗怎么没法借款咯,1
蚂蚁借呗提前还款之后还能再借吗,借呗还款后还能再借款吗,0
能帮朋友还花呗吗,微信能还花呗ma,0
我还有好久时间就可以开通花呗,都这么长时间了，我还没有花呗,0
重新开通花呗可以吗,花呗可以申请十五号还吗,0
用花呗付小黄车押金能退吗,用花呗支付的共享单车押金，退还时是直接还花呗吗,0
我的花呗什么时候给我开通,闲鱼如何开通花呗,0
为什么退款了 花呗还款金额没变,我的花呗还款金额错误的,0
花呗逾期了还上以后还能在用那,花呗分期逾期了,0
我的花呗还清了,我现在有需要还款的花呗,0
借呗收不到验证码。是怎么回事,我在借呗去还钱，怎么收不到验证码,1
蚂蚁借呗提前一天还不行吗,蚂蚁借呗不想提前还款,0
我的花呗红包去哪里了,花呗铂金红包,0
花呗的额度包括手续费吗,我现在用花呗付款，需要手续费吗,0
蚂蚁借呗还款日期可以改么,借呗可以修改推迟还款日吗,1
花呗还款日是***日吗,我的花呗***月份账单还款了吗,0
我要关闭不可以使用借呗可以吧,我不需要借呗服务,0
临时额度金额是不是跟花呗一样的额度,我要提临时花呗额度,0
我打算用借呗的钱，但是我的支付宝遇留手机号不一致，收不到验证码，借呗用不了了,蚂蚁借呗余额，借款收不到手机验证码,0
蚂蚁借呗刚刚成年可以开通吗,我现在可不可以开通借呗,0
芝麻分需要多少才可以开花呗,开通花呗信用度要多少,1
蚂蚁借呗是按照身份证来认定的吗,借呗需要拍身份证吗,0
花呗会清零吗,用花呗支付会有手续费吗,0
双十一临时额度和正常的花呗能一起用不,怎么样才能得到花呗临时额度,0
为什么花呗不能交电费了,花呗只能淘宝买东西，超市付款都用不了,0
另一个支付宝关闭花呗这个可以开通吗,a账户关闭了花呗。b账户可以开通吗,1
花呗冻结了怎么才可以恢复,蚂蚁花呗被冻结了，怎么解开,1
我的什么没有蚂蚁花呗,为什么我的手机上没有花呗,1
怎么不支持花呗收款,可以支持花呗吗,0
花呗可以和余额宝同时使用吗,花呗会直接从余额宝里直接扣款吗,0
花呗这月用钱，下了月可以只还一半剩余分期吗,花呗分期后可以先还一部分本金吗,0
借呗按期还款时能提前还款吗,蚂蚁借呗提前还款无法还款怎么回事,0
我怀疑这花呗，乱七八糟扣钱,我上月花呗已还款了，但是这个月又扣我钱了,0
怎么看蚂蚁花呗履约,怎么查看花呗账单,0
蚂蚁花呗自动还款需要手续费吗,花呗到期自动还款要利息吗,0
花呗收款怎么选择分期,想一下子还清花呗 可是分期了怎么还,0
蚂蚁花呗已还清最低是啥意思,花呗分期最低还款是什么,0
花呗负额度是什么意思,花呗临时额度是到期那天还清吗,0
听说借呗会自己关闭,提前还款会导致借呗关闭麽,0
绑定借呗，然后身份证、身份证就是上传不上去,蚂蚁借呗开通要拍身份证，上传后信息安全吗,0
借呗还款帐户限额，可以分两次还吗,蚂蚁借呗可以分两年吗,0
为什么我在可以花呗付款的店铺没法用花呗付款,我不是用花呗付款，为什么退到花呗里面,0
花呗在哪里设置,花呗设置在哪,1
蚂蚁借呗关闭、花呗降额、是什么原因,借呗关闭花呗被降额什么原因,0
蚂蚁借呗现在可以提现吗,借呗提现找不到在哪,0
借呗只可以选择六个月个十二个月,借呗如何只借***个月,0
蚂蚁借呗逾期***天没还会影响信用吗,蚂蚁借呗几天逾期影响信用,1
借呗还款逾期一天会怎样,借呗逾期会怎么样,1
我的蚂蚁借呗的扣款可以从余额宝扣吗,我的余额宝里面有***，借呗可以直接还***吗,0
双***花呗没有临时额度吗,花呗临时没有了,0
借呗还钱是怎么还的,借呗怎么更改还款,0
***花呗得还多少,***元花呗分***期每期还多少,0
花呗用不了，是不是不可以用了,然后我的花呗就不能用了,0
花呗最低还款后，剩下的没还算逾期吗,我确定我的花呗没有逾期还款，可花呗不能用了,0
为什么我花呗还可以透支***元,花呗余额可以透支,1
淘宝卖家怎么开通花呗收款,为什么我的淘宝店铺花呗支付开通不了，可以帮我看下吗,0
商家怎么申请花呗,我是商家收钱码，怎么开通蚂蚁花呗,0
怎么加入花呗分期服务商,服务商推广花呗分期,0
如果我逾期花呗还款会怎么样,蚂蚁花呗逾期是怎么回事,0
我花呗已经还款了为什么额度不变,为什么花呗还款后可用额度没变化,1
花呗怎么安全验证,怎样保证花呗安全,0
花呗可以在出租车用吗,滴滴扣费可以用花呗吗,0
如何看淘宝物品是否支持花呗支付,支付宝二维码收款支持花呗吗,0
花呗额度多长时间评估,花呗多长时间进行综合测评,1
单品优惠券用花呗支付可以吗,口碑码付款可以用花呗付款吗,0
我这个花呗是不是降低了,我的花呗什么原因降额了,0
借呗用了每个月还花呗就可以了吗,借呗借来的钱可以还花呗吗,0
我拿花呗充的话费怎么还没到账,我用花呗交了***话费昨天到现在快一天了怎么还没收到钱,1
我的花呗上显示尽情花呗是什么意思,什么是花呗，我不明白,0
是提升借呗可以借的额度,刚才，我看我的借呗，显示有提额，我领取了，怎么没有提额,0
我连花呗都没有开通可以用花呗付款吗,花呗支付没开通也通支付的,0
蚂蚁借呗不是六个月还款吗，怎么才一个月就让还,蚂蚁借呗借***分***个月还多少钱？一个月还多少,0
为什么蚂蚁借呗只能借***期了,为什么借呗只能借***个,1
没开通花呗，怎么有还款通知，今天,我没开通花呗，如何还款,0
手机话费用花呗充值***小时都没有到账,我用花呗充值话费怎么还没到账,1
可在实体店用花呗付款妈,花呗付款返现,0
花呗未出账不能申请分期,我的花呗怎么分期不了,0
改下花呗还款日,花呗能更改还款日期吗,0
登陆花呗总是显示系统繁忙,为什么还借呗显示系统繁忙,0
借呗跟网商贷差在那里,蚂蚁借呗改成网商贷,0
在淘宝买东西怎样用花呗分期付款,超过花呗分期付款会怎么样,0
花呗逾期六天还能用花呗吗,花呗逾期还完之后借呗可以正常使用嘛,0
花呗手续费什么意思,花呗会先还手续费,0
蚂蚁借呗额度可调高吗,蚂蚁借呗额度怎么调回原来的额度,0
花呗最晚还款月为几号,花呗最晚可以什么时候还款,1
花呗老刷脸,每次花呗都要刷脸吗,0
尾款选择花呗分期,花呗免息分期几个月,0
花呗的款怎么分期还,取消我刚刚花呗分期付款怎么取消,0
为什么显示退款了，我的花呗金额没有变,花呗退款的金额怎么没减出来,1
我刚刚还了花呗一笔钱 但没显示还了,花呗的钱还了却没有显示,1
刚才借呗提醒我额度提升，为啥没升,我借呗有提额的,0
花呗需要多少蚂蚁分,开通蚂蚁花呗需要信用多少分,0
现在怎么找不到蚂蚁借呗了,借呗开通过了，但现在进不去,0
蚂蚁借呗提现更换银行卡,借呗提现到错误的银行卡,0
大概什么时间可以确定我的花呗能不能再次使用了,我什么时候能再使用花呗,1
花呗的还款日期能否调整,花呗还款可以调后吗,0
已经用花呗付过款的怎么取消,不用花呗直接付款,0
今天我有一笔还款，不知怎么还马蚂蚁借呗的钱,借呗没有钱还怎么办,0
怎么开花呗服务费发票,如何开通花呗服务,0
怎么更换已绑定的花呗,如何更换蚂蚁花呗绑定的银行卡,0
花呗退回成功，但还款金额还是没变是怎么回事,花呗退款在确认收货前，但下月应还款额没有变,1
这里就是显示此付款不支持花呗,我的花呗怎么购物支付不了,1
花呗分期后，如果提前结清分期，还要手续费吗,花呗分期后再一次性还清 怎么收费,0
蚂蚁借呗一次借了***万,蚂蚁借呗借了后的短信,0
花呗不用了怎么关,怎么关闭花呗，我不需要用,1
我想马上还花呗，可是打不开了，怎么办,这花呗的还款，如果换不上，怎么办,0
购物时，有个花呗分期手续费是什么意思,花呗购买手机分期是额度有多高就只能买多少钱的么,0
生活激费什么时候能用花呗,花呗还款逾期，什么时候能用,0
借呗还款提前几天发短信提醒,借呗提前还款，违约金么,0
花呗会扣余额宝嘛,借呗还款是从余额里面扣款还是从余额宝里面扣款,0
怎么切换不到花呗支付,我怎么切换到花呗,0
为什么花呗不能手机充话费了！什么回事,花呗教不了话费怎么办,1
蚂蚁借呗每月几号评估呀,蚂蚁借呗等待系统评估要多久,0
现在关了蚂蚁借呗。还可以开通吗,新号可以开借呗吗,0
要是你们这花呗付款，还要还钱吗,明明花呗付款了，为什么还要提醒还款,0
蚂蚁花呗最后还款日可以修改吗,花呗的还钱日期能改吗,1
我的借呗你们都停一个月了,为什么我的借呗被关闭了,1
怎样让朋友帮还花呗,怎么样让朋友帮忙还花呗,1
花呗所有的分期,花呗分期多少一期,0
要还款了，花呗不能使用,花呗不能负,0
借呗提前还款手续是怎么算的,蚂蚁借呗的还款日期是按照什么来的,0
花呗用超了没事吧,花呗为什么用了操,0
如何查询花呗应还款的构成明细,如何查询花呗以后每个月应该还款多少,1
怎样淘宝开通花呗,我想要开通蚂蚁花呗,0
为什么我扣了卡里的钱 花呗还要我还款,为什么我的蚂蚁花呗一次性还清了，每个月为什么还要扣我钱,0
为什么退还到花呗，还款余额不变,为啥退到花呗里,0
我的借呗一值在显示放款中，借呗额度显示已经借了,借呗一直显示在放款中,1
蚂蚁借呗借款后是每月还吗,为什么我借呗不是还款了吗,0
电脑版花呗怎么还钱,花呗上的钱咋还,0
支付宝的花呗可以在淘宝用吗,淘宝外卖可以用蚂蚁花呗么,0
花呗支付开通,我已开通花呗收款但是客户不能用花呗支付,0
如何将花呗功能转移到另外一个支付宝账号,如何将花呗更换到另一个账号,1
可不可以在便利店用花呗的,现在我的花呗能用吗,0
花呗分期付款后提前还款，是守约吗,花呗分期是先要全款付吗,0
我刚刚不小心把花呗额度设置少了一千本来有三千，现在买东西额度不够了,把花呗额度调低了,0
打开花呗老是提示绑定银行卡，反复这样,蚂蚁花呗提示绑定银行卡,0
我刚用花呗买了***元的东西为什么没有口红包,我用花呗支付的电费，因为里面有***元红包，怎么没用,1
花呗打开后是系统繁忙？怎么回事,花呗显示系统繁忙，为什么,1
我的借呗现在不能用,我蚂蚁借呗怎么不能用了,1
花呗的良使用行为是指什么,花呗名下的微贷是什么,0
蚂蚁借呗为什么无法借款了,为什么还完款，借呗里面原有的钱不见了,0
借呗能能借多少,借呗的最高限制额度是多少,0
借呗已还款为什么还逾期,蚂蚁借呗离还款日多久算逾期,0
蚂蚁借呗，怎么显示文件不存在,为什么我蚂蚁借呗出不来,0
借呗提前还款算违约吗,借呗提前还款要收违约金吗,0
借呗怎么只有***月和***月分期,***个月的借呗分期还能再分期吗,0
还钱还钱怎么还钱花呗里面的钱怎么还,之前的花呗怎么还,1
分期后，花呗还会有额度吗,如果我把本月的花呗钱还了，额度会不会还原,0
款已经退回花呗了还扣我的支付宝上钱,我怎么用了花呗 支付时还扣我银行卡里的钱,0
我想查询一下我用花呗支付的什么商品,从哪里可以查询商品是用蚂蚁花呗买的,1
我是店铺怎么开通花呗收款,花呗和信用卡开通收款码,1
花呗九号晚上是***点还款嘛,花呗必须还款嘛,0
水电费花呗支付多长时间能恢复,花呗什么时候恢复生活缴费功能,0
我借呗逾期现在还了怎么还借不了,现在花呗做呗不可以用了吗,0
怎么刷新花呗额度,我要怎么开通花呗呀,0
我六十几元是用自己的银行卡支付，为什么没用花呗支付，要还什么款,为什么我还款花呗了系统没扣走储蓄卡的钱,0
借呗按时还款日期是否还有手续费,蚂蚁借呗分期后提前还款手续费是不是,0
扫二维码用花呗怎么付不了款,我花呗商场扫码扫不了。。几个月了,1
我的花呗为什么不能使用了,我有花呗额度 却不能使用 什么原因,1
花呗账单怎么还在,花呗账单出了以后有退款怎么办,0
我的花呗找不到,我的花呗花在了哪里,0
退回花呗可以退到余额宝嘛,花呗到期如何在余额宝上自动扣除,0
蚂蚁借呗自动借款,借呗可以自由还款吗,0
我蚂蚁花呗分期付款为什么不可以用,花呗还款分期为什么分不了,0
花呗借呗怎么转到另一个手机号码上,我的花呗是一个不用的号码，现在能转到我现在的号码吗,1
玩花呗逾期了几个月 我现在还上 还可以用花呗吗,蚂蚁花呗逾期蚂蚁借呗可以用吗,0
我的花呗为什么一直是临时额度,我的花呗没有临时额度吗,0
借呗还款明细,借呗如何看还款明细,0
借呗上显示怎么还？然后不能选择先息后本,蚂蚁借呗先还利息要怎么还,0
花呗为在商行买东西限额,花呗限额解除,0
为啥我的蚂蚁借呗没有额度了？真讨厌,蚂蚁借呗怎么也没有,0
蚂蚁借呗到了还款日后可以申请分期麽,借呗还款日可以往后延吗,0
花呗明明打开了权限怎么还是提示打开权限,我的通讯录权限打开了 为什么花呗还是显示让我打开权限,0
余额还借呗有没有额度限制,支付宝余额还款借呗，有没有金额限制,0
花呗分期办不了,怎么申请花呗账单分期,0
花呗分期能提前还下月帐单么,花呗分期如何提前还全额,0
花呗不可以用做红包么,用花呗 可以减红包吗,0
***分的芝麻信用分借呗有多少额度,开通借呗送多少额度,0
开通下花呗好吗,能邀请我开通花呗么,1
开通花呗免费吗,只能刷脸验证花呗开通吗,0
淘宝商家如何使用花呗收钱,淘宝代付，怎么使用花呗,0
支付宝没绑定银行卡怎样还花呗,银行卡还花呗没到账,0
我老公用花呗没提醒,我的花呗需要登陆以前的账号使用,0
蚂蚁花呗积分兑换蚂蚁借呗额度,积分兑换借呗率利是在哪里兑换,0
花呗分期过的还能分期吗,花呗已经消费的可以分期么,0
蚂蚁借呗还款银行卡可以自动扣款吗,蚂蚁借呗如何解除自动还款,0
花呗可以延期***天还吗,今天蚂蚁花呗还款，可以晚几天,1
花呗分期后会影响借呗提升额度吗,花呗分期账单会不会影响到花呗额度,0
花呗还清当月额度，还有没还的,花呗额度一年都没有涨,0
借呗还款完没了,借呗还款能延迟吗,0
怎么可以用借呗，借钱,我要怎么才能快点使用借呗,1
花呗账单可以设置分期吗,花呗账单和花呗分期账单有什么不同,0
怎么转换花呗,花呗账号没用了怎么切换,0
花呗可以有多少笔分期,花呗分期付款后又用了花呗还可以继续分期吗,0
花呗帐单只有***，为什么要还款***,为什么有这个花呗,0
收款码为什么不能用花呗,商家码不能花呗,1
借呗提前还款，有违约金吗,如果花呗晚一天还款有违约金吗,0
我还可以进取花呗临时额度吗,我的花呗以分期了临时额度还用提前还款吗,0
我在app上 花呗里边也用不了,是，我能用花呗余额吗,0
花呗扫一次，还能扫第二回吗,花呗只能扫一百,0
开通花呗有年费么,花呗有年费,0
现在申请收钱码可以用花呗收款码,商家收钱码不开通信用卡花呗收款,0
余额宝里的钱会自动还借呗吗,支付宝余额可以自动还蚂蚁借呗吗,0
花呗到还款时间会自动扣除吗,蚂蚁花呗说自动还款,0
能用花呗不,我的花呗怎么不能交花费,0
怎么确定蚂蚁借呗如何使用,借呗借钱怎么用,1
花呗还款和借呗还款是一回事吗,花呗查询还款,0
为什么我的花呗被冻结,我的花呗为啥不能用,0
借呗逾期几天就有什么影响,借呗逾期***天,0
花呗兑红包,花呗红包未到账,0
这货已付款，已到货，也已确定收货，为什么花呗扣我***元,为什么我的花呗买东西的时候扣一次款确认收货后花呗又增多了,0
分期还花呗会影响芝麻分的提升吗,花呗分期会降低蚂蚁信用吗,1
***号用花呗***号还需要还款吗,我的花呗还能在用吗,0
我的借呗是什么时候还款,借呗的最晚还款时间,0
花呗分期***期免息,花呗怎么***期免息,0
电话号码改了花呗要怎么改过来,花呗绑定了另一个手机号，怎么改,0
花呗分期，还完一部分，不能再还吗,花呗在购买页面分期了还需要再分期吗,0
我现在使用花呗还款日是什么时候,***月***号开花呗使用花呗的话，还款日是哪天,1
借呗如何开具还清证明,如何开具借呗结清证明,1
淘宝被封，不能解绑支付宝，花呗无法使用,淘宝账号被封花唄用不了,1
花呗如何还清,我要还花呗借款,0
我一共在花呗那里欠了多少钱,我欠了多少钱。花呗,1
花呗负额度会不会对信用有影响,花呗逾期一天会对芝麻信用有不良吗,0
怎么样打开蚂蚁借呗,怎么我没有买蚂蚁借呗,0
为什么花呗额度***借呗又用不了 马总,为什么不能给我花呗借呗用,0
花呗分期还款清单在哪儿查,花呗用了的在哪里查,0
怎么申请借呗不能验证身份证,借呗我已经提交了身份信息，怎么还不能申请额度,0
我的花呗！怎么不能用,我现在可以用花呗不,0
是消费蚂蚁花呗，同时不是有积分么,每月使用花呗交电费最多有几次积分,0
之前的账号关闭花呗后，新账号可以重新开通花呗吗,我可以开通花呗收款吗,0
经常换手机号会影响借呗开通么,我想更换手机号码，更换后影响花呗信誉么,0
蚂蚁借呗冻结着么解冻,借呗冻结多久能结冻,0
这笔钱我花呗没有入账,退款到花呗钱怎么没到账帮我查一下,0
花呗可也在买手机支付吗？支付要手续费吗,花呗支付有手术费吗,0
我看滴滴软件。里面显示我用支付宝支付。并没有用蚂蚁花呗,能用花呗 但是在我的页面没有显示出来,0
我想开通信用卡花呗支付,花呗信用卡收钱开通了怎么用,0
我的收款码不能开通花呗和信用卡,收钱码能用花呗付款,0
花呗不主动还款会自动还款吗,花呗还款后又自动多扣了,0
现在没有蚂蚁借呗了吗,借呗也没有,1
上个月花呗用了***，这个月想分期，那我分期后这个月的额度我有多少,花呗额度***，只能分期***以下的产品吗,0
如果学历中没有符合自己学历要求的如何提花呗额度,花呗提额学历认证没有,0
借呗逾期无法借款吗,逾期五天借呗还可以使用吗,0
怎么借呗还没有扣钱,蚂蚁借呗当日没有扣款怎么办,1
之前借呗有额度，为什么还完之后没有额度了,借呗已经还清了，怎么还是没有额度,1
开通花呗收款后怎么不能用,商家怎么提高商家花呗收款额度,0
借呗有临时额度提么,该如何提高借呗额度,0
花呗 分期后 提前还款可以吗,我的花呗分期提前还款了，为什么,0
为什么我还完花呗最底还款了，还打电话来,我没有用花呗，为什么提示要还款,0
蚂蚁借呗到还款日自己自动扣除余额宝那,余额宝里有钱借呗不自动扣除余额宝里的钱,0
花呗这个月分期了上个月的账单，下个月的账单还能继续分期吗,花呗这个月使用账单分期了 这个月再消费 还可以分期吗,1
滴滴打车可以用花呗吗,花呗可不可以叫车,1
花呗分期总期率,蚂蚁花呗分期的上限,0
绑定银行卡还是用不了花呗,问啥我的借呗不能绑银行卡,0
花呗最低还款可,花呗没有最低还款了吗,0
淘宝买类，***个产品，它建议使用花吧，我打开了，可是我想还款，现在为什么我打不开话吧,我现在怎么把这个号，就是花呗，开不起来了，是吧,0
花呗临时额度还完了到期后还能领吗,怎么给花呗提临时额度,0
花呗不还会自动扣款嘛,余额有钱花呗自动扣款吗,0
花呗按期还就不用算利息吗,花呗，，就是怎么，花呗申请成功的话，要是不用的话，要不要利息的,0
花呗只能买东西用吗,花呗只能一个账号实用吗,0
花呗有临时额度可以用的吗,为什么我的蚂蚁花呗没有临时额度,0
借呗是怎么还款的每个月固定时间还吗,借呗还款的卡掉了怎么办,0
不想用蚂蚁花呗支付怎么办,我不想用花呗支付现在怎么付款,0
花呗还完产生退款,使用花呗消费，产生退款,0
花呗付款，下个月还吧,这个月我又还花呗,0
可是我记得我已经还了花呗 结果还差那么多,花呗还款我按了两次指纹 结果给了两次钱,0
花呗余额不对，怎么办,退款额金额，怎么花呗里没有,0
花呗能设支付密码吗,花呗不可以设密码吗,1
为什么借呗有些人是万分之三,为什么我的借呗是万分之四有人是万分之三,1
花呗逾期了！还了还能用吗,我的花呗还款晚了一个小时算不算逾期,0
如果一月七号用花呗，什么时候还,我想咨询一下花呗还款如果我今天用花呗，那我应该什么时候还,1
我为啥开通不了花呗,为什么我显示我的账户不符合了,0
花呗最低还款就是分期吗,花呗分期和最低还款哪个更划算一点,0
上月花呗分期，这月用了花呗还可以分频,花呗已经分期了一次，还能在分期吗,1
花呗提前节清,花呗还清最低,0
我的怎么没有借唄,我没有不良信用，借呗怎么怎是显示没有信用额度,0
我可以申请蚂蚁花呗重新开通吗,可以帮我把花呗重开不,0
借呗更换银行卡有影响吗,信用卡逾期会影响借呗吗,0
重新登录支付宝以后我花呗不好登录了,我的支付宝账号登陆不上花呗,0
我的花呗逾期了，然后多久，他可以用,花呗逾期还上了多久才能用,1
花呗是用多少换多少还是怎样,花呗怎么可以用的多,0
花呗可以另设一个支付密码吗,设置花呗密码,0
为什么不支持花呗使用,用花呗付款后查不到买了什么,0
扫一扫花呗付款怎么不成功,蚂蚁借呗扣款不成功手动还款怎么操作,0
提前还清借呗，怎么会没有额度了,刚刚还了借呗，而且提前还了，但是借呗没有额度了,1
我的花呗余额怎么减少了,我的花呗可用余额怎么那么少,0
花呗还款了，额度当月还能用吗,用了那么久的花呗了，都没有提额，还能用吗,0
花呗当天消费有限额嘛,花呗自动限额吗,0
花呗哪里还,花呗还款退回来了,0
花呗没还可以使用吗,我买东西怎么用花呗不可以,0
我的花呗还有没有出账的账单吗,***月份花呗还款账单,0
花呗了解好友关系授权,花呗怎的了解授权好友关系,1
借呗提额一次能提多少,借呗多评估一次,0
我是说九月份的花呗分期还款，十月份还可以借吗,不是退款，我是还款的，还花呗,0
花呗支付领不了红包,解除花呗红包,0
花呗显示付数是什么意思,花呗总还款额什么意思,0
申请开通花呗分期,花呗分期开放,1
怎么开通花呗和信用卡渠道,花呗要信用卡嘛,0
花呗要怎么销户,花呗要注销另一个号码怎么注销,1
我的花呗怎不能用,我绑定银行卡了，为何花呗不能用,0
己实名为什么借呗不了,全部都实名认证了，为什么还是申请不了借呗那,1
有没有可以用花呗的店铺,用支付宝扫描的都可以用花呗吗,0
怎么一次还钱所有花呗欠的钱,没有消费花呗怎么要还款,0
有些付款不能用花呗吗,为什么我不支持花呗付款,0
花呗余额怎么负数了,為什麼花呗还清了还是负数？怎样才不是负数,0
